term,term_lemma,difficulty_score
ion implantation,ion implantation,3.0
ion laser,ion laser,4.0
ion milling,ion milling,3.0
ion mobility,ion mobility,4.0
ion neutralization,ion neutralization,3.0
ion optics,ion optic,3.0
ion pair,ion pair,1.0
ion plasma frequency,ion plasma frequency,3.0
ion pump,ion pump,3.0
ion recombination,ion recombination,3.0
ion saturation current,ion saturation current,3.0
ion scattering,ion scattering,3.0
ion sheath,ion sheath,3.0
ion source,ion source,2.0
ion temperature,ion temperature,2.0
ion-acoustic instability,ion - acoustic instability,5.0
ion-molecule reaction,ion - molecule reaction,3.5
ionic bond,ionic bond,3.0
ionic conduction,ionic conduction,3.0
ionic conductivity,ionic conductivity,3.0
ionic conductor,ionic conductor,4.0
ionic crystal,ionic crystal,3.0
ionic polarization,ionic polarization,3.0
ionic radius,ionic radius,3.0
ionic structure,ionic structure,2.0
ionization,ionization,3.0
ionization chamber,ionization chamber,3.0
ionization coefficient,ionization coefficient,3.0
ionization cross section,ionization cross section,1.5
ionization current,ionization current,3.0
ionization efficiency,ionization efficiency,3.0
ionization energy,ionization energy,4.0
ionization limit,ionization limit,3.0
ionization loss,ionization loss,3.0
ionization potential,ionization potential,3.5
ionization vacuum gauge,ionization vacuum gauge,3.0
ionized gas,ionize gas,2.0
ionizing radiation,ionize radiation,3.0
ionosphere,ionosphere,3.0
iron core,iron core,3.5
iron loss,iron loss,3.0
irradiation,irradiation,3.0
irradiation damage,irradiation damage,3.0
irradiation hardening,irradiation harden,3.0
irreducible,irreducible,3.0
irreducible representation,irreducible representation,3.0
irreducible tensor,irreducible tensor,3.0
irreversible,irreversible,3.0
irreversible process,irreversible process,3.5
irrotational,irrotational,3.0
island structure,island structure,1.5
isobar,isobar,3.0
isoelectric point,isoelectric point,1.5
isolated system,isolate system,3.5
isolator,isolator,3.0
isomer,isomer,3.0
isomer shift,isomer shift,3.5
isomerism,isomerism,3.0
isoscalar,isoscalar,3.0
isospin,isospin,3.0
isotherm,isotherm,3.0
isothermal compressibility,isothermal compressibility,3.0
isotope,isotope,3.0
isotope analysis,isotope analysis,3.0
isotope effect,isotope effect,2.0
isotope separation,isotope separation,3.0
isotope separator,isotope separator,3.0
isotope shift,isotope shift,3.5
isotopic abundance,isotopic abundance,4.5
isotopic spin,isotopic spin,4.0
isotropic,isotropic,3.0
isotropic turbulence,isotropic turbulence,3.0
isovector,isovector,3.0
iterative method,iterative method,2.0
itinerant electron magnetism,itinerant electron magnetism,4.0
jet,jet,1.0
joule,joule,3.0
junction,junction,3.0
kaonic atom,kaonic atom,2.0
kelvin,kelvin,3.0
kerma,kerma,3.0
kinematic viscosity,kinematic viscosity,3.0
kinematical theory,kinematical theory,3.0
kinematics,kinematic,3.0
kinetic energy,kinetic energy,5.0
kinetic equation,kinetic equation,5.0
kinetic exchange,kinetic exchange,4.25
kink,kink,3.0
kink instability,kink instability,3.0
klystron,klystron,3.0
laboratory system,laboratory system,2.5
ladder approximation,ladder approximation,3.0
laminar flow,laminar flow,3.0
langmuir,langmuir,3.0
large polaron,large polaron,1.0
laser,laser,4.0
laser Doppler velocimeter,laser doppler velocimeter,4.0
laser amplifier,laser amplifier,4.0
laser annealing,laser annealing,4.0
laser cooling,laser cooling,4.0
laser damage,laser damage,3.5
laser diode,laser diode,4.0
laser discharge,laser discharge,4.0
laser fusion,laser fusion,4.5
laser gyroscope,laser gyroscope,4.0
laser isotope separation,laser isotope separation,3.5
laser medium,laser medium,3.5
laser processing,laser processing,4.0
laser resonator,laser resonator,4.0
laser spectroscopy,laser spectroscopy,4.0
laser-induced fluorescence spectroscopy,laser - induce fluorescence spectroscopy,5.0
laser-produced plasma,laser - produce plasma,3.0
latent heat,latent heat,3.75
lateral strain,lateral strain,3.5
latex,latex,3.0
lattice,lattice,3.0
lattice Green function,lattice green function,2.0
lattice constant,lattice constant,4.0
lattice defect,lattice defect,3.0
lattice dynamics,lattice dynamic,4.0
lattice energy,lattice energy,4.0
lattice field theory,lattice field theory,2.0
lattice gas model,lattice gas model,2.333333333333333
lattice gauge theory,lattice gauge theory,3.0
lattice model,lattice model,2.6666666666666665
lattice plane,lattice plane,3.5
lattice point,lattice point,1.5
lattice relaxation,lattice relaxation,4.0
lattice spacing,lattice space,2.0
lattice specific heat,lattice specific heat,2.25
lattice theory,lattice theory,3.0
lattice vacancy,lattice vacancy,3.0
lattice vibration,lattice vibration,4.0
law,law,2.0
layer structure,layer structure,2.5
layered crystal,layered crystal,3.0
layered material,layered material,2.0
lead wire,lead wire,3.083333333333333
leader,leader,1.0
leak,leak,4.0
leak test,leak test,3.25
leakage current,leakage current,3.0
length,length,3.0
lens,len,3.0
lepton number,lepton number,1.0
level,level,3.0
level density,level density,3.0
level scheme,level scheme,3.5
level spacing,level spacing,3.0
level width,level width,3.5
lever,lever,3.0
life,life,1.0
lifetime,lifetime,4.0
lift,lift,3.0
lift coefficient,lift coefficient,3.0
ligand,ligand,3.0
ligand field,ligand field,1.0
light,light,1.6666666666666667
light cone,light cone,2.8333333333333335
light exposure,light exposure,1.6666666666666667
light modulation,light modulation,1.6666666666666667
light pressure,light pressure,1.8333333333333335
light scattering,light scattering,1.6666666666666667
light source,light source,1.8333333333333335
light velocity,light velocity,1.6666666666666667
light water reactor,light water reactor,2.0833333333333335
light-emitting device,light - emit device,2.3333333333333335
light-emitting diode,light - emit diode,1.6666666666666667
light-figure method,light - figure method,1.888888888888889
lightning conductor,lightning conductor,3.5
lightning discharge,lightning discharge,3.5
limit cycle,limit cycle,3.0
limiter,limiter,3.0
linac,linac,3.0
line integral,line integral,3.75
line of force,line of force,2.1666666666666665
line profile,line profile,3.25
line spectrum,line spectrum,2.5
linear,linear,5.0
linear accelerator,linear accelerator,5.0
linear amplifier,linear amplifier,4.5
linear density,linear density,5.0
linear dichroism,linear dichroism,5.0
linear molecule,linear molecule,4.0
linear motion,linear motion,4.5
linear motor,linear motor,4.0
linear polarization,linear polarization,5.0
linear response theory,linear response theory,3.3333333333333335
linear uniform motion,linear uniform motion,3.6666666666666665
linear velocity,linear velocity,5.0
linear viscoelasticity,linear viscoelasticity,5.0
linearization,linearization,3.0
linearly dependent,linearly dependent,4.5
linearly polarized light,linearly polarize light,3.3333333333333335
linkage,linkage,3.0
liquefaction,liquefaction,3.0
liquid,liquid,3.0
liquid alloy,liquid alloy,3.0
liquid crystal,liquid crystal,3.0
liquid helium,liquid helium,3.0
liquid hydrogen,liquid hydrogen,3.0
liquid metal,liquid metal,2.5
liquid nitrogen,liquid nitrogen,3.0
liquid oxygen,liquid oxygen,3.0
liquid phase,liquid phase,4.0
liquid phase growth,liquid phase growth,3.6666666666666665
liquid scintillator,liquid scintillator,3.0
liquidus,liquidus,3.0
liquifier,liquifier,3.0
lithography,lithography,3.0
load,load,3.0
load impedance,load impedance,3.0
local density functional formalism,local density functional formalism,3.0
local density of states,local density of state,2.111111111111111
local electric field,local electric field,1.6666666666666667
local equilibrium,local equilibrium,4.0
local field,local field,1.5
local interaction,local interaction,2.5
local thermal equilibrium,local thermal equilibrium,4.0
localized electron,localize electron,3.0
localized level,localize level,3.0
localized magnetic moment,localize magnetic moment,3.0
localized mode,localize mode,3.0
localized orbital,localize orbital,3.0
localized spin model,localize spin model,3.333333333333333
localized state,localize state,3.333333333333333
lock-in amplifier,lock - in amplifier,2.6666666666666665
logarithmic derivative,logarithmic derivative,3.0
logic circuit,logic circuit,4.0
lone pair,lone pair,1.0
long wave,long wave,2.0
long-range interaction,long - range interaction,2.5
longitudinal,longitudinal,3.0
longitudinal mode,longitudinal mode,3.0
longitudinal photon,longitudinal photon,3.0
longitudinal polarization,longitudinal polarization,3.0
longitudinal relaxation,longitudinal relaxation,4.0
longitudinal vibration,longitudinal vibration,4.0
longitudinal wave,longitudinal wave,2.5
loop,loop,3.0
loss,loss,3.0
loss angle,loss angle,3.5
loss cone,loss cone,3.5
loss modulus,loss modulus,3.0
loudness,loudness,3.0
loudness level,loudness level,3.0
low dose irradiation,low dose irradiation,3.0
low frequency,low frequency,2.5
low temperature,low temperature,2.0
low-energy electron diffraction,low - energy electron diffraction,3.0
lower bound,lower bind,4.0
lower hybrid resonance,low hybrid resonance,3.0
lower yield point,low yield point,2.5
lubricant,lubricant,3.0
lubrication,lubrication,3.0
luminance,luminance,3.0
luminescence,luminescence,3.0
luminescence center,luminescence center,3.0
luminosity,luminosity,3.0
luminous efficacy,luminous efficacy,3.0
lyotropic liquid crystal,lyotropic liquid crystal,3.0
macroscopic,macroscopic,3.0
magic number,magic number,1.5
magnet,magnet,3.0
magnetic Reynolds number,magnetic reynolds number,3.0
magnetic anisotropy,magnetic anisotropy,5.0
magnetic balance,magnetic balance,4.25
magnetic birefringence,magnetic birefringence,5.0
magnetic bottle,magnetic bottle,3.75
magnetic breakdown,magnetic breakdown,4.5
magnetic bubble,magnetic bubble,4.0
magnetic charge,magnetic charge,4.0
magnetic circuit,magnetic circuit,5.0
magnetic confinement,magnetic confinement,5.0
magnetic core,magnetic core,4.5
magnetic dipole,magnetic dipole,5.0
magnetic dipole interaction,magnetic dipole interaction,4.0
magnetic domain,magnetic domain,5.0
magnetic domain walls,magnetic domain wall,3.0
magnetic energy,magnetic energy,4.5
magnetic entropy,magnetic entropy,5.0
magnetic field,magnetic field,3.0
magnetic field strength,magnetic field strength,2.6666666666666665
magnetic fluid,magnetic fluid,4.5
magnetic flux,magnetic flux,5.0
magnetic flux compression,magnetic flux compression,4.5
magnetic flux density,magnetic flux density,5.0
magnetic flux tube,magnetic flux tube,3.0
magnetic form factor,magnetic form factor,3.6666666666666665
magnetic hysteresis,magnetic hysteresis,5.0
magnetic hysteresis loop,magnetic hysteresis loop,5.0
magnetic impurity,magnetic impurity,5.0
magnetic induction,magnetic induction,5.0
magnetic ion,magnetic ion,5.0
magnetic lens,magnetic len,5.0
magnetic line of force,magnetic line of force,2.875
magnetic loss,magnetic loss,4.0
magnetic material,magnetic material,3.5
magnetic mirror,magnetic mirror,3.5
magnetic modulation,magnetic modulation,5.0
magnetic moment,magnetic moment,3.0
magnetic monopole,magnetic monopole,5.0
magnetic order,magnetic order,3.25
magnetic permeability,magnetic permeability,5.0
magnetic polarization,magnetic polarization,5.0
magnetic polaron,magnetic polaron,5.0
magnetic pole,magnetic pole,4.0
magnetic potential,magnetic potential,4.25
magnetic probe,magnetic probe,4.5
magnetic quantum number,magnetic quantum number,3.0
magnetic reconnection,magnetic reconnection,5.0
magnetic recording,magnetic recording,4.0
magnetic relaxation,magnetic relaxation,4.5
magnetic resistance,magnetic resistance,4.5
magnetic saturation,magnetic saturation,5.0
magnetic semiconductor,magnetic semiconductor,5.0
magnetic shielding,magnetic shielding,5.0
magnetic structure,magnetic structure,3.5
magnetic substance,magnetic substance,4.5
magnetic superconductor,magnetic superconductor,5.0
magnetic surface,magnetic surface,4.0
magnetic susceptibility,magnetic susceptibility,5.0
magnetic thin film,magnetic thin film,2.8333333333333335
magnetic torque,magnetic torque,5.0
magnetic transformation,magnetic transformation,4.0
magnetic transition,magnetic transition,4.5
magnetic well,magnetic well,3.0
magnetics,magnetic,5.0
magnetism,magnetism,5.0
magnetization,magnetization,3.0
magnetization curve,magnetization curve,3.0
magneto-optic effect,magneto - optic effect,2.0
magneto-optics,magneto - optic,3.0
magneto-volume effect,magneto - volume effect,2.5
magnetocaloric effect,magnetocaloric effect,2.0
magnetocardiogram,magnetocardiogram,3.0
magnetocrystalline anisotropy,magnetocrystalline anisotropy,3.0
magnetoelectric effect,magnetoelectric effect,2.0
magnetohydrodynamics,magnetohydrodynamic,3.0
magnetometer,magnetometer,3.0
magnetomotive force,magnetomotive force,3.0
magneton,magneton,3.0
magnetoresistance,magnetoresistance,3.0
magnetorotation,magnetorotation,3.0
magnetosphere,magnetosphere,3.0
magnetostriction,magnetostriction,3.0
magnetostrictive effect,magnetostrictive effect,2.0
magnetron,magnetron,3.0
magnification,magnification,3.0
magnon,magnon,3.0
majority carrier,majority carrier,4.0
manifold,manifold,3.0
manipulator,manipulator,3.0
manometer,manometer,3.0
mantle,mantle,3.0
mapping,mapping,3.0
marked line,mark line,2.25
martensite,martensite,3.0
martensitic transformation,martensitic transformation,3.0
maser,maser,3.0
mass,mass,3.5
mass defect,mass defect,3.5
mass filter,mass filter,3.25
mass flowmeter,mass flowmeter,3.5
mass formula,mass formula,3.25
mass law,mass law,2.75
mass number,mass number,2.25
mass point,mass point,2.5
mass renormalization,mass renormalization,3.5
mass spectrograph,mass spectrograph,3.5
mass spectrometer,mass spectrometer,3.5
mass spectrometry,mass spectrometry,3.5
mass spectroscopy,mass spectroscopy,3.5
mass spectrum,mass spectrum,3.5
master equation,master equation,4.0
matching,match,2.0
material constant,material constant,3.0
materials,material,2.0
matrix,matrix,3.0
matrix element,matrix element,3.0
matrix mechanics,matrix mechanic,3.0
matter,matter,1.5
matter wave,matter wave,2.0
maxwell,maxwell,3.0
mean field approximation,mean field approximation,1.6666666666666665
mean free path,mean free path,2.222222222222222
mean free time,mean free time,2.388888888888889
mean lifetime,mean lifetime,3.1666666666666665
mean square radius,mean square radius,2.1666666666666665
mean value,mean value,2.6666666666666665
mean velocity,mean velocity,2.333333333333333
measurement,measurement,3.0
mechanical energy,mechanical energy,3.5
mechanical equivalent of heat,mechanical equivalent of heat,2.1666666666666665
mechanical relaxation,mechanical relaxation,3.5
mechanics,mechanic,3.0
medium,medium,3.0
medium energy electron diffraction,medium energy electron diffraction,3.3333333333333335
medium vacuum,medium vacuum,3.0
melt growth,melt growth,3.0
melting,melting,3.0
melting curve,melt curve,3.0
melting point,melting point,1.5
membrane,membrane,3.0
membrane structure,membrane structure,2.0
memory effect,memory effect,1.5
meniscus,meniscus,3.0
meridian,meridian,3.0
meson,meson,3.0
mesonic decay,mesonic decay,4.0
mesopic vision,mesopic vision,3.0
metal vapor laser,metal vapor laser,3.0
metal-insulator transition,metal - insulator transition,3.0
metallic bond,metallic bond,3.0
metallic crystal,metallic crystal,3.0
metallic thin film,metallic thin film,1.75
metallurgy,metallurgy,3.0
metamagnetism,metamagnetism,3.0
metastable atom,metastable atom,2.0
metastable molecule,metastable molecule,3.0
metastable phase,metastable phase,5.0
metastable state,metastable state,3.333333333333333
meteor,meteor,3.0
meter,meter,3.0
method of images,method of image,1.6666666666666667
method of least squares,method of least square,2.0
metric,metric,4.0
metric tensor,metric tensor,4.0
metrology,metrology,3.0
micro-optics,micro - optic,4.0
microbalance,microbalance,3.0
microbeam,microbeam,3.0
microcanonical ensemble,microcanonical ensemble,3.0
microcrystal,microcrystal,3.0
microinstability,microinstability,3.0
micromagnetics,micromagnetic,3.0
micrometer,micrometer,3.0
microscope,microscope,4.0
microscope objective,microscope objective,3.75
microscopic,microscopic,4.0
microscopic Raman spectroscopy,microscopic raman spectroscopy,4.0
microtron,microtron,3.0
microwave,microwave,4.0
microwave circuit,microwave circuit,4.5
microwave heating,microwave heating,3.0
microwave instability,microwave instability,4.0
migration energy,migration energy,4.0
minimization problem,minimization problem,1.0
minimum surface,minimum surface,3.0
minimum work,minimum work,2.0
minimum yield,minimum yield,3.5
minority carrier,minority carrier,4.0
minute,minute,1.0
mirror field,mirror field,1.5
mirror image,mirror image,2.0
mirror nuclei,mirror nucleus,2.5
miscibility gap,miscibility gap,3.0
misfit dislocation,misfit dislocation,3.0
missing mass,miss mass,2.25
mixed crystal,mix crystal,3.0
mixed dislocation,mixed dislocation,3.0
mixed state,mixed state,3.333333333333333
mixed valence,mixed valence,3.0
mixing,mix,3.0
mixing length,mix length,3.0
mixture,mixture,4.0
mobility,mobility,4.0
mobility edge,mobility edge,3.5
modal noise,modal noise,1.0
mode,mode,3.0
mode coupling,mode coupling,3.0
mode distribution,mode distribution,3.0
mode locking,mode locking,3.0
mode pattern,mode pattern,3.0
mode pulling,mode pull,2.0
mode selection,mode selection,3.0
mode-locked laser,mode - lock laser,3.25
model,model,2.6666666666666665
moderator,moderator,3.0
modulated structure,modulate structure,2.0
modulation,modulation,3.0
modulation index,modulation index,4.0
modulation method,modulation method,2.0
molar extinction coefficient,molar extinction coefficient,3.0
molar fraction,molar fraction,5.0
molar heat,molar heat,2.5
molar heat capacity,molar heat capacity,2.75
molar polarization,molar polarization,3.0
molar volume,molar volume,3.0
mole,mole,3.0
molecular beam,molecular beam,4.0
molecular collision,molecular collision,3.0
molecular crystal,molecular crystal,3.0
molecular field,molecular field,1.0
molecular field approximation,molecular field approximation,1.0
molecular flow,molecular flow,3.0
molecular image,molecular image,2.0
molecular integral,molecular integral,5.0
molecular ion,molecular ion,3.0
molecular motion,molecular motion,4.0
molecular orbital,molecular orbital,3.0
molecular physics,molecular physics,3.0
molecular pump,molecular pump,3.0
molecular refraction,molecular refraction,3.0
molecular rotation,molecular rotation,3.0
molecular science,molecular science,1.0
molecular spectrum,molecular spectrum,3.0
molecular structure,molecular structure,2.0
molecular symmetry,molecular symmetry,3.0
molecular vibration,molecular vibration,4.0
molecular volume,molecular volume,3.0
molecular weight,molecular weight,2.0
molecular-beam epitaxy,molecular - beam epitaxy,4.0
molecule,molecule,3.0
moment,moment,1.0
moment expansion,moment expansion,2.5
moment of inertia,moment of inertia,1.0
momentum,momentum,3.0
momentum accommodation coefficient,momentum accommodation coefficient,4.0
momentum compaction factor,momentum compaction factor,4.0
momentum conservation law,momentum conservation law,2.5
momentum thickness,momentum thickness,4.0
momentum transfer,momentum transfer,3.5
momentum transfer cross section,momentum transfer cross section,2.1666666666666665
monochromatic,monochromatic,3.0
monochromatic light,monochromatic light,1.6666666666666667
monochromaticity,monochromaticity,3.0
monochromatization,monochromatization,3.0
monochromator,monochromator,3.0
monochrome,monochrome,3.0
monofilament,monofilament,3.0
monolayer,monolayer,3.0
monomer,monomer,3.0
monomolecular film,monomolecular film,2.5
monomolecular layer,monomolecular layer,3.0
monopole,monopole,3.0
mortar,mortar,4.0
mosaic structure,mosaic structure,2.0
most probable value,most probable value,2.8888888888888893
motion,motion,4.0
motional narrowing,motional narrowing,3.0
motor,motor,3.0
moving coordinate system,move coordinate system,1.75
moving striation,move striation,1.5
multichannel,multichannel,3.0
multilayer,multilayer,3.0
multilayer film,multilayer film,2.5
multimode,multimode,3.0
multiphase flow,multiphase flow,3.0
multiphoton absorption,multiphoton absorption,3.0
multiphoton dissociation,multiphoton dissociation,3.0
multiple bond,multiple bond,3.5
multiple diffraction,multiple diffraction,4.0
multiple ionization,multiple ionization,4.0
multiple reflection,multiple reflection,3.5
multiple scattering,multiple scattering,4.0
multiple-beam interference,multiple - beam interference,4.0
multiplet,multiplet,3.0
multiplication,multiplication,3.0
multiplication factor,multiplication factor,4.0
multiplicity,multiplicity,3.0
multiplier,multiplier,3.0
multipole,multipole,3.0
multipole expansion,multipole expansion,4.0
multipole field,multipole field,1.0
multipole radiation,multipole radiation,3.0
muon,muon,3.0
muon capture,muon capture,3.0
muonic atom,muonic atom,2.0
muonium,muonium,3.0
mutual conductance,mutual conductance,3.0
mutual inductance,mutual inductance,3.0
mutual induction,mutual induction,4.0
n-type semiconductor,n - type semiconductor,2.0
narrowing,narrow,3.0
natural convection,natural convection,2.0
natural frequency,natural frequency,2.5
natural light,natural light,1.8333333333333335
natural parity,natural parity,2.0
natural science,natural science,1.5
natural uranium,natural uranium,2.0
natural width,natural width,3.0
near field pattern,near field pattern,2.111111111111111
near infrared radiation,near infrared radiation,2.6666666666666665
nearly free electron approximation,nearly free electron approximation,2.444444444444444
necking,neck,1.0
negative corona,negative corona,3.0
negative electrode,negative electrode,4.0
negative feedback,negative feedback,3.0
negative glow,negative glow,3.0
negative ion,negative ion,2.0
negative ion injection,negative ion injection,3.0
negative ion source,negative ion source,2.0
negative resistance,negative resistance,3.0
negative temperature,negative temperature,2.0
negatron,negatron,3.0
nematic phase,nematic phase,5.0
neoclassical transport,neoclassical transport,3.5
nesting,nest,3.0
network,network,3.0
network structure,network structure,2.5
neutral,neutral,3.0
neutral beam,neutral beam,3.5
neutral current,neutral current,3.0
neutral particle,neutral particle,3.5
neutral plane,neutral plane,3.25
neutral-ionic transition,neutral - ionic transition,3.5
neutralization,neutralization,3.0
neutrino,neutrino,3.0
neutrino oscillation,neutrino oscillation,3.0
neutron,neutron,3.0
neutron capture,neutron capture,3.0
neutron detector,neutron detector,3.0
neutron diffraction,neutron diffraction,3.0
neutron diffractometer,neutron diffractometer,3.0
neutron dosimetry,neutron dosimetry,3.0
neutron excess,neutron excess,3.0
neutron flux,neutron flux,3.0
neutron resonance,neutron resonance,3.0
neutron scattering,neutron scattering,3.0
neutron source,neutron source,2.0
neutron spectrometer,neutron spectrometer,3.0
neutron spin echo method,neutron spin echo method,4.0
neutron star,neutron star,2.0
nitrogen laser,nitrogen laser,4.0
noble metal,noble metal,3.0
node,node,3.0
noise,noise,1.0
noise figure,noise figure,1.5
noise generator,noise generator,1.0
noise resistance,noise resistance,2.5
noise temperature,noise temperature,1.5
noise voltage,noise voltage,1.0
non-Newtonian flow,non - newtonian flow,3.0
non-Newtonian fluid,non - newtonian fluid,4.0
non-destructive inspection,non - destructive inspection,3.0
non-stoichiometry,non - stoichiometry,3.0
nonlinear,nonlinear,3.0
nonlinear circuit,nonlinear circuit,5.0
nonlinear conduction,nonlinear conduction,3.0
nonlinear element,nonlinear element,3.0
nonlinear optics,nonlinear optic,3.0
nonlinear oscillation,nonlinear oscillation,3.0
nonlinear resistor,nonlinear resistor,3.0
nonlinear resonance,nonlinear resonance,3.0
nonlinear spectroscopy,nonlinear spectroscopy,3.0
nonlinear susceptibility,nonlinear susceptibility,3.0
nonlinear viscoelasticity,nonlinear viscoelasticity,3.0
nonlinear wave,nonlinear wave,2.5
nonthermal radiation,nonthermal radiation,3.0
norm,norm,3.0
normal conducting state,normal conduct state,2.944444444444444
normal conduction,normal conduction,2.0
normal coordinates,normal coordinate,2.0
normal dispersion,normal dispersion,2.0
normal distribution,normal distribution,2.5
normal force,normal force,2.5
normal gravity,normal gravity,2.0
normal liquid,normal liquid,2.5
normal mode,normal mode,2.0
normal shock wave,normal shock wave,2.5
normal state,normal state,2.6666666666666665
normal stress,normal stress,2.75
normal velocity,normal velocity,2.0
normalization,normalization,3.0
normalized emittance,normalize emittance,3.0
north pole,north pole,2.5
nozzle,nozzle,3.0
nuclear astrophysics,nuclear astrophysic,3.0
nuclear deformation,nuclear deformation,3.0
nuclear emulsion,nuclear emulsion,3.0
nuclear energy,nuclear energy,3.5
nuclear fission,nuclear fission,3.0
nuclear force,nuclear force,3.0
nuclear fragmentation,nuclear fragmentation,4.0
nuclear fuel,nuclear fuel,3.0
nuclear fusion,nuclear fusion,4.0
nuclear isomer,nuclear isomer,3.0
nuclear magnetic relaxation,nuclear magnetic relaxation,4.0
nuclear magnetic resonance,nuclear magnetic resonance,4.0
nuclear magnetism,nuclear magnetism,4.0
nuclear magneton,nuclear magneton,3.0
nuclear matter,nuclear matter,2.25
nuclear moment,nuclear moment,2.0
nuclear orientation,nuclear orientation,3.0
nuclear physics,nuclear physics,3.0
nuclear potential,nuclear potential,3.25
nuclear quadrupole resonance,nuclear quadrupole resonance,3.0
nuclear radius,nuclear radius,3.0
nuclear reaction,nuclear reaction,3.5
nuclear reactor,nuclear reactor,3.0
nuclear resonance fluorescence,nuclear resonance fluorescence,3.0
nuclear scattering,nuclear scattering,3.0
nuclear spectroscopy,nuclear spectroscopy,3.0
nuclear stopping power,nuclear stopping power,2.5
nuclear structure,nuclear structure,2.5
nuclear temperature,nuclear temperature,2.5
nuclear transmutation,nuclear transmutation,3.0
nucleation,nucleation,3.0
nucleon,nucleon,3.0
nucleus,nucleus,3.0
nuclide,nuclide,3.0
number density,number density,1.0
number operator,number operator,2.5
numerical calculation,numerical calculation,3.5
numerical integration,numerical integration,5.0
numerical solution,numerical solution,3.0
nutation,nutation,3.0
object wave,object wave,3.0
objective,objective,3.5
oblique shock wave,oblique shock wave,3.8333333333333335
observable,observable,3.0
observation,observation,3.0
observation equation,observation equation,3.5
observed value,observe value,3.0
observer,observer,4.0
octahedral site,octahedral site,1.0
octet,octet,3.0
octupole,octupole,3.0
octupole moment,octupole moment,1.0
ocular,ocular,3.0
ohm,ohm,3.0
ohmic contact,ohmic contact,2.0
ohmic heating,ohmic heating,2.0
oil diffusion pump,oil diffusion pump,2.5
oligomer,oligomer,3.0
omnidirectional,omnidirectional,3.0
one particle operator,one particle operator,3.1111111111111107
one-body potential,one - body potential,1.9444444444444444
one-dimensional,one - dimensional,1.3333333333333333
one-dimensional system,one - dimensional system,1.6666666666666665
one-electron approximation,one - electron approximation,2.1666666666666665
opacity,opacity,6.0
open end,open end,1.25
open shell,open shell,2.0
open system,open system,1.5
open tube,open tube,1.0
operation,operation,3.0
operational amplifier,operational amplifier,4.0
operational calculus,operational calculus,3.0
operator,operator,4.0
optic axis,optic axis,4.0
optical activity,optical activity,1.0
optical amplifier,optical amplifier,4.0
optical axis,optical axis,4.0
optical beat,optical beat,3.5
optical bench,optical bench,2.0
optical bistability,optical bistability,3.0
optical communication,optical communication,2.0
optical confinement,optical confinement,5.0
optical constant,optical constant,4.0
optical damage,optical damage,3.0
optical deflection,optical deflection,3.0
optical deflector,optical deflector,3.0
optical density,optical density,3.0
optical depth,optical depth,3.0
optical fiber,optical fiber,3.0
optical glass,optical glass,1.0
optical heterodyne,optical heterodyne,3.0
optical integrated circuit,optical integrate circuit,4.5
optical isolator,optical isolator,3.0
optical isomerism,optical isomerism,3.0
optical lever,optical lever,3.0
optical memory,optical memory,1.0
optical microscope,optical microscope,4.0
optical mixing,optical mixing,3.0
optical model,optical model,2.6666666666666665
optical modulator,optical modulator,3.0
optical oscillator strength,optical oscillator strength,2.0
optical parametric amplification,optical parametric amplification,5.0
optical parametric oscillation,optical parametric oscillation,3.0
optical path,optical path,2.0
optical path difference,optical path difference,1.5
optical path length,optical path length,2.5
optical potential,optical potential,3.5
optical pulse compression,optical pulse compression,4.0
optical pumping,optical pumping,3.0
optical rectification,optical rectification,3.0
optical resonator,optical resonator,3.0
optical rotation,optical rotation,3.0
optical rotatory power,optical rotatory power,2.0
optical shutter,optical shutter,3.0
optical spin orientation,optical spin orientation,4.0
optical strain,optical strain,3.5
optical switch,optical switch,3.0
optical system,optical system,2.0
optical theorem,optical theorem,3.0
optical thickness,optical thickness,4.0
optical transfer function,optical transfer function,3.0
optical transmission,optical transmission,4.0
optical waveguide,optical waveguide,3.0
optical wedge,optical wedge,3.0
optically pumped laser,optically pump laser,3.5
optics,optic,3.0
optimal control,optimal control,2.5
optimization,optimization,3.0
optoelectronics,optoelectronic,3.0
orbit,orbit,3.0
orbital,orbital,3.0
orbital angular momentum,orbital angular momentum,6.0
orbital diamagnetism,orbital diamagnetism,3.0
orbital electron,orbital electron,3.0
orbital magnetic moment,orbital magnetic moment,3.0
orbital paramagnetism,orbital paramagnetism,3.0
orbital susceptibility,orbital susceptibility,3.0
order parameter,order parameter,3.75
order-disorder ferroelectrics,order - disorder ferroelectric,2.75
order-disorder transition,order - disorder transition,3.1666666666666665
ordered alloy,order alloy,1.5
ordered lattice,order lattice,1.5
ordered state,order state,2.4166666666666665
ordered structure,order structure,1.75
ordinate,ordinate,3.0
organic semiconductor,organic semiconductor,3.0
organic superconductor,organic superconductor,3.0
orientation,orientation,3.0
orientational order,orientational order,1.5
orifice,orifice,3.0
ortho-para conversion,ortho - para conversion,4.0
orthonormality,orthonormality,3.0
orthorhombic system,orthorhombic system,2.0
oscillating current,oscillate current,3.0
oscillation,oscillation,3.0
oscillator,oscillator,3.0
oscillator strength,oscillator strength,2.0
oscilloscope,oscilloscope,3.0
outgassing,outgas,3.0
outgassing rate,outgas rate,3.0
outlet,outlet,4.0
output,output,4.0
overcurrent,overcurrent,3.0
overdamping,overdamping,3.0
overlap integral,overlap integral,4.5
overlap population,overlap population,3.0
